#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
22000	 0.15	 11.36	 -122.39	 -49.00	 52.00	 165.00
22100	 0.15	 11.36	 -122.39	 -49.00	 52.00	 165.00
22200	 1.48	 11.67	 -124.83	 -109.00	 21.00	 139.00
22300	 1.45	 11.64	 -124.93	 -133.00	 -22.00	 85.00
22400	 1.45	 11.64	 -124.93	 -133.00	 -22.00	 85.00
22500	 3.53	 12.25	 -126.97	 -609.00	 8.00	 -57.00
22600	 3.81	 12.33	 -126.99	 -238.00	 34.00	 -31.00
22700	 3.81	 12.33	 -126.99	 -238.00	 34.00	 -31.00
22800	 8.21	 12.57	 -126.87	 -4.00	 -24.00	 -106.00
22900	 8.21	 12.62	 -126.83	 -30.00	 -126.00	 -160.00
23000	 8.21	 12.62	 -126.83	 -30.00	 -126.00	 -160.00
23100	 7.67	 12.03	 -124.27	 12.00	 -63.00	 -670.00
23200	 7.60	 11.98	 -123.99	 239.00	 -106.00	 -713.00
23300	 7.60	 11.98	 -123.99	 239.00	 -106.00	 -713.00
23400	 6.14	 9.66	 -112.60	 60.00	 -279.00	 -699.00
23500	 6.06	 9.57	 -112.19	 689.00	 523.00	 -734.00
23600	 6.06	 9.57	 -112.19	 689.00	 523.00	 -734.00
23700	 -4.24	 15.77	 -101.79	 -539.00	 -400.00	 -912.00
23800	 -4.44	 16.13	 -101.44	 2204.00	 503.00	 43.00
23900	 -4.44	 16.13	 -101.44	 2204.00	 503.00	 43.00
24000	 4.36	 10.68	 -89.35	 -1386.00	 343.00	 -586.00
24100	 5.17	 10.80	 -88.93	 1642.00	 -524.00	 111.00
24200	 5.17	 10.80	 -88.93	 1642.00	 -524.00	 111.00
24300	 4.81	 11.21	 -85.63	 -21.00	 92.00	 -45.00
24400	 4.72	 11.09	 -85.65	 -43.00	 -62.00	 -17.00
24500	 4.72	 11.09	 -85.65	 -43.00	 -62.00	 -17.00
24600	 4.71	 11.09	 -85.44	 -40.00	 4.00	 -21.00
24700	 4.70	 11.12	 -85.44	 -51.00	 -68.00	 -33.00
24800	 4.70	 11.12	 -85.44	 -51.00	 -68.00	 -33.00
24900	 4.69	 10.96	 -85.22	 -50.00	 -48.00	 -27.00
25000	 4.69	 10.96	 -85.22	 -46.00	 -22.00	 -26.00
25100	 4.69	 10.96	 -85.22	 -46.00	 -22.00	 -26.00
25200	 4.68	 10.77	 -85.02	 -54.00	 -28.00	 -27.00
25300	 4.69	 10.76	 -85.01	 -39.00	 -32.00	 -22.00
25400	 4.69	 10.76	 -85.01	 -39.00	 -32.00	 -22.00
25500	 4.67	 10.63	 -84.80	 -42.00	 -33.00	 -23.00
25600	 4.67	 10.63	 -84.79	 -44.00	 -33.00	 -20.00
25700	 4.67	 10.63	 -84.79	 -44.00	 -33.00	 -20.00
25800	 4.65	 10.53	 -84.59	 -43.00	 -34.00	 -22.00
25900	 4.65	 10.53	 -84.58	 -44.00	 -32.00	 -23.00
26000	 4.65	 10.53	 -84.58	 -44.00	 -32.00	 -23.00
26100	 4.64	 10.44	 -84.37	 -44.00	 -32.00	 -23.00
26200	 4.63	 10.43	 -84.37	 -43.00	 -33.00	 -24.00
26300	 4.63	 10.43	 -84.37	 -43.00	 -33.00	 -24.00
26400	 4.62	 10.37	 -84.15	 -45.00	 -33.00	 -23.00
26500	 4.62	 10.37	 -84.14	 -45.00	 -32.00	 -23.00
26600	 4.62	 10.37	 -84.14	 -45.00	 -32.00	 -23.00
26700	 4.61	 10.31	 -83.93	 -43.00	 -32.00	 -24.00
26800	 4.62	 10.31	 -83.92	 -44.00	 -33.00	 -23.00
26900	 4.62	 10.31	 -83.92	 -44.00	 -33.00	 -23.00
27000	 4.61	 10.28	 -83.71	 -44.00	 -32.00	 -23.00
